Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/10/30;10:57:25;División Atlántico;1;New York Knicks;5;4;1;579;542;37
2021/10/30;10:57:25;División Atlántico;2;Philadelphia 76ers;5;3;2;550;528;22
2021/10/30;10:57:25;División Atlántico;3;Toronto Raptors;6;3;3;629;604;25
2021/10/30;10:57:25;División Atlántico;4;Brooklyn Nets;6;3;3;615;641;-26
2021/10/30;10:57:25;División Atlántico;5;Boston Celtics;5;2;3;571;595;-24
2021/10/30;10:57:25;División Central;1;Chicago Bulls;5;4;1;533;494;39
2021/10/30;10:57:25;División Central;2;Milwaukee Bucks;5;3;2;570;574;-4
2021/10/30;10:57:25;División Central;3;Cleveland Cavaliers;6;3;3;626;629;-3
2021/10/30;10:57:25;División Central;4;Indiana Pacers;6;1;5;665;691;-26
2021/10/30;10:57:25;División Central;5;Detroit Pistons;4;0;4;376;423;-47
2021/10/30;10:57:25;División Sureste;1;Miami Heat;5;4;1;555;479;76
2021/10/30;10:57:25;División Sureste;2;Washington Wizards;5;4;1;561;539;22
2021/10/30;10:57:25;División Sureste;3;Charlotte Hornets;6;4;2;705;694;11
2021/10/30;10:57:25;División Sureste;4;Atlanta Hawks;5;3;2;543;513;30
2021/10/30;10:57:25;División Sureste;5;Orlando Magic;6;1;5;613;685;-72
2021/10/30;10:57:25;División Noroeste;1;Utah Jazz;4;4;0;461;388;73
2021/10/30;10:57:25;División Noroeste;2;Minnesota Timberwolves;4;3;1;431;410;21
2021/10/30;10:57:25;División Noroeste;3;Denver Nuggets;5;3;2;515;490;25
2021/10/30;10:57:25;División Noroeste;4;Portland Trail Blazers;5;3;2;568;533;35
2021/10/30;10:57:25;División Noroeste;5;Oklahoma City Thunder;5;1;4;501;567;-66
2021/10/30;10:57:25;División Pacífico;1;Golden State Warriors;5;4;1;562;536;26
2021/10/30;10:57:25;División Pacífico;2;Sacramento Kings;5;3;2;555;566;-11
2021/10/30;10:57:25;División Pacífico;3;Los Angeles Lakers;6;3;3;693;699;-6
2021/10/30;10:57:25;División Pacífico;4;Phoenix Suns;4;1;3;425;459;-34
2021/10/30;10:57:25;División Pacífico;5;Los Angeles Clippers;5;1;4;514;524;-10
2021/10/30;10:57:25;División Suroeste;1;Dallas Mavericks;5;3;2;485;519;-34
2021/10/30;10:57:25;División Suroeste;2;Memphis Grizzlies;5;3;2;570;573;-3
2021/10/30;10:57:25;División Suroeste;3;Houston Rockets;5;1;4;524;560;-36
2021/10/30;10:57:25;División Suroeste;4;San Antonio Spurs;5;1;4;550;549;1
2021/10/30;10:57:25;División Suroeste;5;New Orleans Pelicans;6;1;5;613;654;-41
